"subjID","choice","trial","outcome_blue","outcome","amount_blue","amount_orange","status"
"H11025",1,36,0,0,42,44,1
"H11025",1,37,1,1,55,31,1
"H11025",1,38,0,0,70,97,1
"H11025",1,39,0,0,9,14,1
"H11025",2,40,1,0,51,23,1
"H11025",1,41,1,1,79,89,1
"H11025",2,42,1,0,86,83,1
"H11025",2,43,1,0,62,40,1
"H11025",1,44,1,1,23,36,1
"H11025",1,45,1,1,61,65,1
"H11025",1,46,1,1,67,74,1
"H11025",1,47,1,1,41,73,1
"H11025",1,48,0,0,54,96,1
"H11025",2,49,1,0,88,86,1
"H11025",2,50,1,0,66,43,1
"H11025",2,51,1,0,79,72,1
"H11025",1,52,0,0,13,71,1
"H11025",2,53,1,0,53,78,1
"H11025",2,54,1,0,90,57,1
"H11025",2,55,0,1,12,3,1
"H11025",2,56,1,0,64,2,1
"H11025",1,57,1,1,9,99,1
"H11025",2,58,1,0,42,21,1
"H11025",2,59,1,0,72,83,1
"H11025",1,60,1,1,11,37,1
"H11025",2,61,0,1,81,67,1
"H11025",2,62,1,0,14,12,1
"H11025",2,63,0,1,90,78,1
"H11025",2,64,0,1,53,46,1
"H11025",2,65,0,1,42,30,1
"H11025",1,66,0,0,65,36,1
"H11025",1,67,0,0,49,49,1
"H11025",1,68,0,0,10,44,1
"H11025",1,69,0,0,64,70,1
"H11025",2,70,0,1,95,68,1
"H11025",1,71,0,0,46,38,-1
"H11025",1,72,0,0,24,18,-1
"H11025",1,73,0,0,78,82,-1
"H11025",1,74,0,0,54,59,-1
"H11025",1,75,0,0,33,36,-1
"H11025",1,76,1,1,56,49,-1
"H11025",1,77,0,0,83,26,-1
"H11025",1,78,0,0,81,38,-1
"H11025",1,79,0,0,3,12,-1
"H11025",1,80,0,0,38,62,-1
"H11025",2,81,0,1,50,43,-1
"H11025",1,82,0,0,47,50,-1
"H11025",1,83,1,1,35,41,-1
"H11025",2,84,0,1,62,9,-1
"H11025",1,85,0,0,58,60,-1
"H11025",1,86,0,0,31,88,-1
"H11025",1,87,0,0,44,56,-1
"H11025",1,88,1,1,15,31,-1
"H11025",1,89,0,0,31,90,-1
"H11025",1,90,0,0,76,80,-1
"H11025",1,91,0,0,4,78,-1
"H11025",1,92,0,0,28,60,-1
"H11025",1,93,1,1,99,56,-1
"H11025",2,94,0,1,45,31,-1
"H11025",1,95,0,0,16,55,-1
"H11025",1,96,1,1,89,12,-1
"H11025",1,97,0,0,4,49,-1
"H11025",1,98,0,0,12,69,-1
"H11025",1,99,1,1,26,49,-1
"H11025",1,100,0,0,76,75,-1
"H11025",2,101,0,1,90,22,-1
"H11025",1,102,1,1,23,26,-1
"H11025",1,103,0,0,68,11,-1
"H11025",1,104,1,1,82,71,-1
"H11025",1,105,0,0,95,86,-1
"H11025",1,106,0,0,88,79,-1
"H11025",1,107,0,0,40,75,-1
"H11025",2,108,0,1,94,11,-1
"H11025",1,109,1,1,44,53,-1
"H11025",1,110,0,0,17,85,-1
"H11025",1,111,1,1,32,85,-1
"H11025",1,112,0,0,68,38,-1
"H11025",1,113,0,0,93,28,-1
"H11025",2,114,0,1,95,13,-1
"H11025",1,115,0,0,60,69,-1
"H11025",2,116,1,0,95,56,-1
"H11025",2,117,0,1,41,2,-1
"H11025",1,118,0,0,5,42,-1
"H11025",1,119,0,0,30,44,-1
"H11025",1,120,0,0,4,79,-1
"H11025",1,121,0,0,87,83,-1
"H11025",1,122,0,0,44,59,-1
"H11025",1,123,1,1,10,15,-1
"H11025",1,124,0,0,15,60,-1
"H11025",1,125,0,0,25,73,-1
"H11025",1,126,0,0,23,43,-1
"H11025",2,127,0,1,87,22,-1
"H11025",1,128,1,1,77,27,-1
"H11025",1,129,0,0,35,99,-1
"H11025",1,130,1,1,39,49,-1
"H11025",1,131,0,0,60,83,-1
"H11025",1,132,1,1,54,61,-1
"H11025",1,133,0,0,34,82,-1
"H11025",1,134,0,0,86,96,-1
"H11025",1,135,0,0,27,65,-1
"H11025",2,136,0,1,93,63,-1
"H11025",1,137,0,0,40,65,-1
"H11025",2,138,0,1,69,7,-1
"H11025",1,139,1,1,28,94,-1
"H11025",1,140,0,0,4,90,-1
"H11214",1,1,1,1,10,23,1
"H11214",2,2,1,0,97,45,1
"H11214",2,3,1,0,62,54,1
"H11214",1,4,0,0,16,99,1
"H11214",1,5,1,1,40,72,1
"H11214",1,6,1,1,88,98,1
"H11214",2,7,1,0,54,6,1
"H11214",1,8,1,1,55,64,1
